event_date,country,latitude,longitude,airport_code,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,weather_condition,aircraft_damage
4/25/2016,United States,26.238055,-80.091666,PMP,Airplane,N6709Y,BEECH,76,FALSE,2,Reciprocating,Instructional,VMC,Destroyed
4/1/2016,United States,32.968611,-96.836389,ADS,Airplane,N992BC,GILL CRAIG,LANCAIR IV P PROPJET,TRUE,1,Turbo Prop,Personal,VMC,Substantial
9/11/2016,United States,38.8475,-94.7375,OJC,Airplane,N90391,CESSNA,182,FALSE,1,Reciprocating,Personal,VMC,Substantial
7/10/2016,United States,37.458611,-86.849722,JQD,Powered Parachute,N3519T,BUCKEYE,DREAM MACHINE,TRUE,1,Reciprocating,Personal,VMC,Minor
7/8/2016,United States,29.817223,-95.665833,IWS,Airplane,N32KK,PIPER,PA 32R-300,FALSE,1,Reciprocating,Personal,VMC,Destroyed
7/6/2016,United States,43.485277,-71.166111,NH68,Airplane,N767MH,CESSNA,180,FALSE,1,Reciprocating,Personal,VMC,Substantial
7/7/2016,United States,35.312222,-91.878889,35AR,Airplane,N9046T,CESSNA,182,FALSE,1,Reciprocating,Personal,VMC,Substantial
4/25/2016,United States,38.111111,-96.113889,SN91,Airplane,N8872H,GRUMMAN ACFT ENG COR-SCHWEIZER,G 164,FALSE,1,Reciprocating,Aerial Application,VMC,Substantial
4/25/2016,United States,26.238055,-80.091666,PMP,Airplane,N6709Y,BEECH,76,FALSE,2,Reciprocating,Instructional,VMC,Destroyed
4/24/2016,United States,31.642777,-100.968611,64F,Airplane,N8052S,CESSNA,150,FALSE,1,Reciprocating,Personal,VMC,Substantial
4/30/2016,United States,42.323334,-88.926667,C77,Airplane,N4242H,CESSNA,140,FALSE,1,Reciprocating,Personal,VMC,Substantial
4/30/2016,United States,31.085833,-97.686389,ILE,Airplane,N192CS,PIPER,PA 31P,FALSE,2,Reciprocating,Business,VMC,Substantial
3/26/2016,United States,33.132223,-97.014167,30F,Airplane,N717SP,PPHU EKOLOT,KR-030 TOPAZ,FALSE,1,Reciprocating,Personal,VMC,Substantial
3/26/2016,United States,43.234722,-77.124723,SDC,Helicopter,N5698Y,ENSTROM,F280,FALSE,1,Reciprocating,Instructional,VMC,Substantial
3/29/2016,United States,32.493333,-80.991944,3J1,Airplane,N744H,WACO,CTO,FALSE,1,Reciprocating,Personal,VMC,Substantial
3/26/2016,United States,46.926111,-98.683056,JMS,Helicopter,N721RP,HUGHES,369,FALSE,1,Turbo Shaft,Ferry,VMC,Substantial
4/8/2016,United States,32.452778,-96.913333,JWY,Airplane,N5046N,BELLANCA,7GCBC,FALSE,1,Reciprocating,Instructional,VMC,Substantial
4/12/2016,United States,33.269167,-111.811111,CHD,Airplane,N501W,MONOCOUPE,110,FALSE,1,Reciprocating,Flight Test,VMC,Substantial
4/3/2016,United States,33.453333,-80.859722,OGB,Airplane,N2124E,CESSNA,172,FALSE,1,Reciprocating,Personal,VMC,Substantial
4/13/2016,United States,29.104167,-81.314722,1J6,Glider,N5AQ,ATKINSON,EAGLET,TRUE,2,"REC, ELEC",Personal,VMC,Substantial
4/6/2016,United States,34.256944,-111.339166,PAN,Airplane,N5275S,CESSNA,172,FALSE,1,Reciprocating,Instructional,VMC,Substantial
3/6/2016,United States,35.483334,-81.161111,IPJ,Airplane,N5488Z,PIPER,PA 22-108,FALSE,1,Reciprocating,Personal,VMC,Substantial
3/10/2016,United States,34.571389,-112.419167,PRC,Airplane,N44AZ,Thomas D. Parkes,Lancair ES,TRUE,1,Reciprocating,Personal,VMC,Substantial
2/13/2016,United States,39.195277,-119.740277,CXP,Helicopter,N1181W,BELL,47G 3B 1,FALSE,1,Reciprocating,Personal,VMC,Substantial
3/1/2016,United States,61.571667,-149.54,IYS,Airplane,N12BE,MAULE,M5,FALSE,1,Reciprocating,Instructional,VMC,Substantial
1/18/2016,United States,32.718889,-98.891666,BKD,Airplane,N73GT,AVIAT AIRCRAFT INC,A-1C,FALSE,1,Reciprocating,Personal,VMC,Substantial
1/18/2016,United States,27.071667,-82.440277,VNC,Airplane,N761EP,CESSNA,210,FALSE,1,Reciprocating,Personal,VMC,Substantial
1/19/2016,United States,37.646944,-75.762222,MFV,Airplane,N3046H,PIPER,PA32RT,FALSE,1,Reciprocating,Personal,VMC,Destroyed
1/18/2016,United States,32.564722,-82.985,DBN,Airplane,N68X,PIPER,PA 30,FALSE,2,Reciprocating,Instructional,VMC,Substantial
6/14/2015,United States,41.520834,-76.462222,PA71,Airplane,N97505,STINSON,108,FALSE,1,Reciprocating,Personal,VMC,Substantial
6/17/2015,United States,31.233334,84.75,CCO,Airplane,N353DC,DIAMOND AIRCRAFT IND INC,DA 20 C1,FALSE,1,Reciprocating,Instructional,VMC,Substantial
6/15/2015,United States,43.074167,-75.932223,NY72,Airplane,N693MP,PENELL MARK A,RANS S-10 KIT,TRUE,1,Reciprocating,Personal,VMC,Substantial
6/14/2015,United States,33.558889,-86.249166,PLR,Airplane,N1272W,WEATHERLY,201B,FALSE,0,Reciprocating,Aerial Application,VMC,Substantial
6/18/2015,United States,43,-71,None,Airplane,N2569P,PIPER,PA-22,FALSE,1,Reciprocating,Personal,VMC,Substantial
3/12/2015,United States,29.353056,-99.1725,KHDO,Unknown,N638J,JABIRU USA SPORT AIRCRAFT LLC,J250 SP,FALSE,1,Reciprocating,Instructional,VMC,Substantial
